DN89_c3_g1_i2	K15613
DN2043_c0_g1_i3	K17197
DN2036_c0_g1_i4	K11590
DN430_c0_g1_i5	K00710
DN7842_c0_g1_i8	K07432
DN1146_c0_g1_i3	K15162
DN1128_c0_g1_i5	K11493
DN6099_c0_g1_i3	K08520
DN885_c0_g1_i1	K12873
DN4247_c0_g1_i13	K02333
DN4247_c0_g1_i13	K02333
DN5456_c0_g1_i2	K00236
DN3676_c0_g1_i10	K12603
DN3676_c0_g1_i10	K12603
DN2785_c0_g1_i2	K12164
DN8539_c0_g1_i1	K07232
DN7628_c0_g1_i2	K14774
DN207_c1_g1_i14	K12495
DN4008_c0_g1_i8	K06776
DN4008_c0_g1_i8	K05693
DN663_c0_g1_i4	K08459
DN682_c0_g3_i4	K16185
DN613_c2_g1_i7	K12337
DN603_c0_g1_i9	K11126
DN3137_c0_g1_i9	K15116
DN7924_c0_g1_i6	K17493
DN18178_c0_g1_i3	K01837
DN10078_c1_g1_i12	K01148
DN4309_c0_g1_i7	K08672
DN12268_c0_g1_i8	K01556
DN10663_c0_g1_i2	K11415
DN1956_c0_g1_i7	K15728
DN6804_c0_g1_i1	K11131
DN6850_c1_g1_i3	K18985
DN6850_c1_g1_i3	K15280
DN22798_c0_g1_i8	K17929
DN22798_c0_g1_i8	K17929
DN2376_c1_g1_i6	K01530
DN2397_c1_g1_i4	K04733
DN2397_c1_g1_i4	K06176
DN2397_c1_g1_i4	K04733
DN1433_c0_g1_i11	K11653
DN1433_c0_g1_i11	K11653
DN1449_c0_g1_i12	K11585
DN10398_c0_g1_i3	K20644
DN10398_c0_g1_i3	K20644
DN6616_c2_g1_i17	K06827
DN9768_c0_g1_i7	K06626
DN9743_c0_g1_i21	K14960
DN9743_c0_g1_i21	K14960
DN3018_c0_g1_i18	K00846
DN3018_c0_g1_i18	K00846
DN582_c0_g1_i1	K06670
DN10956_c0_g1_i1	K06560
DN1264_c0_g1_i2	K17338
DN1264_c0_g1_i2	K17338
DN1230_c0_g1_i13	K04724
DN3358_c1_g1_i14	K22040
DN7377_c0_g1_i8	K17681
DN7377_c0_g1_i8	K17681
DN7377_c0_g1_i8	K17681
DN6423_c0_g1_i4	K19679
DN10599_c0_g1_i1	K19614
DN308_c0_g1_i5	K22700
DN5860_c0_g1_i2	K04587
DN4911_c0_g1_i8	K11433
DN745_c0_g1_i22	K16944
DN9837_c0_g1_i9	K06695
DN2291_c0_g1_i9	K15109
DN2291_c0_g1_i9	K15109
DN9334_c0_g1_i4	K05931
